Team ID,Team,Total Passes,AccLB,InAccLB,AccSP,InAccSP,Total Goals,SixYardBox,PenaltyArea,OutOfBox,Rating
004-001,Lille,18159,1454,935,13034,2736,68,19,38,11,6.91
004-002,Marseille,15845,1011,945,11170,2719,61,15,36,10,6.9
004-003,Sochaux,14837,1440,981,10156,2260,59,16,32,11,6.88
004-004,Nancy,14361,1243,1081,9252,2785,40,8,23,9,6.88
004-005,Brest,13864,837,1098,9020,2909,38,9,24,5,6.84
004-006,Caen,13393,1240,1141,8582,2430,47,8,32,7,6.84
004-007,Paris Saint-Germain,15057,1022,920,10451,2664,51,9,36,6,6.83
004-008,Lorient,18534,1208,978,13648,2700,48,5,38,5,6.83
004-009,Rennes,15997,1097,1049,11323,2528,38,6,19,13,6.82
004-010,Bordeaux,15491,1221,995,10627,2648,41,12,25,4,6.82
005-001,Bayern Munich,17642,1890,857,12818,2077,79,24,49,6,7.04
005-002,Borussia Dortmund,14559,1196,1033,9740,2590,64,8,48,8,7.01
005-003,Mainz 05,13155,1201,973,8541,2440,52,13,34,5,6.94
005-004,Bayer Leverkusen,16097,1303,964,11332,2498,66,11,44,11,6.91
005-005,Hamburger SV,15040,1402,927,10619,2092,47,14,29,4,6.85
005-006,VfB Stuttgart,13143,1204,964,8788,2187,61,13,37,11,6.85
005-007,Hoffenheim,13250,1245,981,8611,2413,49,6,33,10,6.82
005-008,Kaiserslautern,12658,1263,1140,7864,2391,49,7,31,11,6.79
005-009,Werder Bremen,14503,1067,917,9944,2575,46,9,27,10,6.76
005-010,Schalke 04,14763,1286,942,10308,2227,38,7,31,0,6.75
006-001,Barcelona,28575,1559,524,24034,2458,94,16,63,15,7.21
006-002,Real Madrid,18678,1395,838,14086,2359,102,17,75,10,7.2
006-003,Valencia,18093,1433,1040,13034,2586,64,12,45,7,6.97
006-004,Villarreal,18081,1264,840,13597,2380,54,6,37,11,6.95
006-005,Atletico Madrid,15862,1559,1098,10587,2618,61,11,43,7,6.89
006-006,Sevilla,17441,1367,960,12604,2510,64,9,49,6,6.85
006-007,Sporting Gijon,13387,1225,1210,8483,2469,34,6,24,3,6.85
006-008,Real Zaragoza,13885,1004,1203,8885,2793,41,2,28,11,6.85
006-009,Osasuna,13676,1237,1264,8363,2812,46,14,28,4,6.85
006-010,Athletic Bilbao,13917,1283,1064,9038,2532,60,14,37,9,6.84
007-001,AC Milan,20242,1886,759,15105,2492,64,9,49,6,7.1
007-002,Inter,19672,1582,766,15185,2139,68,10,47,11,7.05
007-003,Udinese,15403,1418,959,10686,2340,68,9,47,12,6.97
007-004,Napoli,16874,1602,981,11820,2471,59,16,39,4,6.94
007-005,Chievo,14370,1279,1105,9460,2526,38,8,26,4,6.9
007-006,Juventus,15501,1202,955,11091,2253,55,7,37,10,6.89
007-007,Roma,17142,1474,875,12492,2301,58,11,44,3,6.89
007-008,Lazio,17156,1431,828,12587,2310,55,13,36,6,6.88
007-009,Palermo FC,16696,1165,882,12103,2546,60,5,44,11,6.87
007-010,Genoa,15586,1339,1015,10831,2401,44,16,24,3,6.86
008-001,Chelsea,19530,1381,908,14834,2407,69,18,42,8,7.05
008-002,Manchester United,19193,1497,1017,14018,2661,76,23,45,7,7.03
008-003,Arsenal,20416,863,811,16154,2588,71,15,50,5,7.02
008-004,Manchester City,18134,1098,949,13684,2403,58,9,40,9,6.98
008-005,Tottenham,17182,1622,1112,12053,2395,54,9,30,14,6.98
008-006,Liverpool,17108,1253,1095,11854,2906,61,11,42,5,6.9
008-007,Fulham,16714,1038,1344,11586,2746,53,11,30,7,6.9
008-008,Bolton,13096,1360,1368,7359,3009,50,12,30,8,6.88
008-009,Sunderland,14532,1086,1495,9230,2721,43,8,29,5,6.83
008-010,Aston Villa,14988,1085,1224,9917,2762,46,13,26,6,6.82
