Team ID,Team,Total Pasess,AccLB,InAccLB,AccSP,InAccSP,Total Goals,SixYardBox,PenaltyArea,OutOfBox
009-001,Paris Saint-Germain,24547,819,553,21146,2029,86,16,59,9
009-002,Lille,20156,1041,1114,15793,2208,64,6,44,12
009-003,Lyon,19619,1068,788,15555,2208,81,18,53,5
009-004,Monaco,20215,1108,1118,15616,2373,76,17,52,7
009-005,Rennes,22126,1149,941,17790,2246,52,11,34,5
009-006,Metz,15325,1032,1185,11190,1918,44,9,24,9
009-007,Brest,17583,1280,1149,13021,2133,50,9,33,6
009-008,Lens,17220,1087,1033,12994,2106,55,11,39,3
009-009,Nice,20011,964,854,16168,2025,50,9,37,3
009-010,Marseille,18788,977,1118,14427,2266,54,13,35,5
010-001,Bayern Munich,20220,1143,738,16149,2190,99,16,66,16
010-002,Borussia Dortmund,20942,1166,771,16733,2272,75,16,52,6
010-003,Wolfsburg,15586,1082,1075,11072,2357,61,5,40,12
010-004,RB Leipzig,19783,876,834,15583,2490,60,10,42,7
010-005,Eintracht Frankfurt,16693,910,1061,12385,2337,69,18,43,2
010-006,Bayer Leverkusen,19985,1187,999,15674,2125,53,15,30,7
010-007,Borussia M.Gladbach,17503,889,897,13467,2250,64,8,49,6
010-008,VfB Stuttgart,16238,833,880,12328,2197,56,7,41,6
010-009,Hoffenheim,16399,1048,1025,12186,2140,52,7,40,4
010-010,Union Berlin,14382,1004,1270,9952,2156,50,8,36,6
011-001,Barcelona,27067,923,571,23349,2224,85,17,52,11
011-002,Real Madrid,22260,1424,751,18097,1988,67,15,40,9
011-003,Atletico Madrid,19122,1109,1045,14777,2191,67,9,50,6
011-004,Sevilla,21107,1434,1070,16750,1853,53,9,36,7
011-005,Villarreal,19543,1111,910,15389,2133,60,8,41,8
011-006,Real Sociedad,17242,996,1041,12928,2277,59,14,36,8
011-007,Real Betis,18094,1045,1191,13799,2059,50,10,34,6
011-008,Valencia,14966,1246,1164,10644,1912,50,8,34,6
011-009,Celta Vigo,17812,1029,1266,13209,2308,55,14,35,6
011-010,SD Huesca,15580,1029,1307,11402,1842,34,4,22,6
012-001,Inter,17912,1129,655,14255,1873,72,13,52,7
012-002,AC Milan,16210,979,812,12572,1847,60,11,35,11
012-003,Juventus,16759,1151,798,13064,1746,67,14,42,11
012-004,Napoli,19224,939,669,15742,1874,52,8,38,5
012-005,Atalanta,17406,863,967,13348,2228,61,10,40,8
012-006,Roma,15461,1045,871,11780,1765,55,13,35,6
012-007,Lazio,19227,998,615,15710,1904,66,11,48,6
012-008,Torino,14831,843,1205,10829,1954,42,15,22,2
012-009,Sassuolo,17157,1050,740,13555,1812,61,9,41,9
012-010,Verona,14450,853,1094,10281,2222,60,9,38,9
013-001,Manchester City,25651,1026,674,21895,2056,83,16,56,10
013-002,Manchester United,20998,986,807,16824,2381,73,8,54,8
013-003,Aston Villa,15189,1090,1260,10847,1992,55,14,30,8
013-004,Chelsea,24070,1053,885,19888,2244,58,12,41,3
013-005,Liverpool,24292,1024,1008,19798,2462,68,11,48,6
013-006,Tottenham,19070,912,1169,14684,2305,68,17,39,10
013-007,Leicester,19574,907,1082,15166,2419,68,8,44,12
013-008,Leeds,18648,1042,1089,14034,2483,62,11,36,13
013-009,West Ham,15152,931,1211,10851,2159,62,21,36,3
013-010,Everton,17129,1073,1135,12875,2046,47,20,22,3
