Player ID,Team ,Player,Position,HEIGHT(CM),WEIGHT(KG),Apps,Mins,Total Passes,AccLB,InAccLB,AccSP,InAccSP,Rating
000-001,FC Barcelona 2010-2011,Lionel Messi,Forward,170,72,13,1048,895,9,2,784,100,8.87
000-002,FC Barcelona 2010-2011,Andreu Fontàs,Defender,188,91,1,90,115,4,1,103,7,8.8
000-003,FC Barcelona 2010-2011,Thiago Alcântara,Midfielder,174,70,1,90,131,6,2,108,15,8.75
000-004,FC Barcelona 2010-2011,Víctor Vázquez,Forward,180,78,1,77,46,1,1,39,5,7.88
000-005,FC Barcelona 2010-2011,Andrés Iniesta,Midfielder,171,68,10,899,872,41,7,768,56,7.85
000-006,FC Barcelona 2010-2011,Sergio Busquets,Midfielder,189,76,12,1080,1190,72,13,1040,65,7.53
000-007,FC Barcelona 2010-2011,Dani Alves,Defender,172,70,12,1078,936,21,8,805,102,7.48
000-008,FC Barcelona 2010-2011,Xavi,Midfielder,170,68,12,953,1315,94,7,1150,64,7.44
000-009,FC Barcelona 2010-2011,Adriano,Defender,172,75,6,424,319,11,3,277,28,7.34
000-010,FC Barcelona 2010-2011,Marc Bartra,Defender,184,70,1,55,40,1,2,33,4,7.32
000-011,FC Barcelona 2010-2011,Javier Mascherano,Defender,174,73,11,880,883,81,22,723,57,7.3
000-012,FC Barcelona 2010-2011,David Villa,Forward,175,69,12,947,269,6,-,209,54,7.13
000-013,FC Barcelona 2010-2011,Gerard Piqué,Defender,194,85,12,1028,852,71,33,697,51,7.12
000-014,FC Barcelona 2010-2011,Pedro,Forward,169,65,12,772,480,3,2,433,42,7.04
000-015,FC Barcelona 2010-2011,Eric Abidal,Defender,186,75,8,559,438,8,5,398,27,6.89
000-016,FC Barcelona 2010-2011,Carles Puyol,Defender,178,80,8,632,350,24,4,294,28,6.87
000-017,FC Barcelona 2010-2011,Maxwell,Defender,176,73,7,371,235,8,1,202,24,6.56
000-018,FC Barcelona 2010-2011,Seydou Keita,Midfielder,183,75,10,423,286,8,1,253,24,6.53
000-019,FC Barcelona 2010-2011,Jonathan dos Santos,Midfielder,172,74,1,64,50,2,-,45,3,6.48
000-020,FC Barcelona 2010-2011,Ibrahim Afellay,Midfielder,180,76,6,120,81,1,-,73,7,6.47
000-021,FC Barcelona 2010-2011,Pinto,Goalkeeper,185,82,3,181,62,13,5,41,3,6.46
000-022,FC Barcelona 2010-2011,Víctor Valdés,Goalkeeper,183,78,11,990,235,57,48,126,4,6.44
000-023,FC Barcelona 2010-2011,Gabriel Milito,Defender,179,78,2,34,42,3,1,37,1,6.2
000-024,FC Barcelona 2010-2011,Jeffrén Suárez,Forward,176,73,2,29,12,-,-,9,3,6.2
000-025,FC Barcelona 2010-2011,Bojan,Forward,170,65,3,59,13,-,-,13,-,6.15
000-026,FC Barcelona 2010-2011,Sergi Roberto,Midfielder,178,68,1,1,2,-,-,2,-,6
